Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
ett får,Ett får står på ängen.,A sheep is standing in the meadow.
en illustration,En illustration kan göra texten mer intressant.,An illustration can make the text more interesting.
en rock,Jag älskar att lyssna på rockmusik när jag går ut med min rock.,I love listening to rock music when I go out with my coat.
ett innehav,Jag har ett innehav av böcker som jag älskar att läsa.,I have a possession of books that I love to read.
innan,Jag ska äta lunch innan jag går till mötet.,I will have lunch before I go to the meeting.
still,Det är fortfarande kallt ute.,It is still cold outside.
indirekt,Hon gav mig ett indirekt svar.,She gave me an indirect answer.
en lapp,Jag hittade en lapp med ett telefonnummer på golvet.,I found a piece of paper with a phone number on the floor.
en änka,Hon är en änka som bor i byn.,She is a widow who lives in the village.
en tilltro,Jag har en tilltro till mina vänner.,I have confidence in my friends.
en dvd,Jag tittar på en dvd ikväll.,I am watching a DVD tonight.
en bensin,Bilen behöver en bensin för att köra.,The car needs gasoline to drive.
att bromsa,Jag måste bromsa bilen innan vi når korsningen.,I have to brake the car before we reach the intersection.
att bråka,"De brukade bråka om småsaker, men nu är de bästa vänner.","They used to argue about small things, but now they are best friends."
en kula,Kasta kulan till mig!,Throw the ball to me!
en svält,En svält drabbade många länder i historien.,A famine affected many countries in history.
en klo,Katten fångade musen med sin klo.,The cat caught the mouse with its claw.
en sektion,Vi ska dela in klassen i en sektion för varje ämne.,We will divide the class into a section for each subject.
ett avskaffande,Ett avskaffande av skatter skulle göra livet lättare för många.,An abolition of taxes would make life easier for many.
en examen,Jag studerar hårt för att klara en examen.,I am studying hard to pass an exam.
en religionsfrihet,En religionsfrihet är viktig för alla människor.,A freedom of religion is important for all people.
utåt,Han pekade utåt mot havet.,He pointed outward toward the sea.
att balansera,Det är viktigt att balansera arbete och fritid.,It is important to balance work and leisure.
en heltid,Jag jobbar heltid på kontoret.,I work full-time at the office.
hemifrån,Jag saknar att vara hemifrån.,I miss being away from home.
att stifta,Vi behöver stifta nya lagar för att skydda miljön.,We need to create new laws to protect the environment.
verkställande,Den verkställande direktören leder företaget.,The chief executive officer leads the company.
en asyl,Många människor söker en asyl för att hitta trygghet.,Many people seek an asylum to find safety.
en graviditet,En graviditet varar vanligtvis i nio månader.,A pregnancy usually lasts for nine months.
att korsa,Jag måste korsa gatan för att komma dit.,I need to cross the street to get there.
att avlägsna,Vi måste avlägsna skräpet från parken.,We need to remove the trash from the park.
en beställning,Jag har lagt en beställning på en ny cykel.,I have placed an order for a new bicycle.
en fasad,Fasaden på huset är mycket vacker.,The façade of the house is very beautiful.
att infinna sig,Jag måste infinna mig till mötet klockan tre.,I must attend the meeting at three o'clock.
hyfsat,Det gick hyfsat bra på provet.,It went pretty well on the test.
en julafton,En julafton är alltid full av glädje.,A Christmas Eve is always full of joy.
organisk,Jag köper alltid organisk mat.,I always buy organic food.
att åtnjuta,Jag älskar att åtnjuta en god bok på en solig dag.,I love to enjoy a good book on a sunny day.
för alltid,Du kommer alltid att vara min vän för alltid.,You will always be my friend forever.
en hemmaplan,Fotboll laget spelar alltid bäst på en hemmaplan.,The soccer team always plays best on home ground.
ett kloster,Det finns ett kloster i bergen.,There is a monastery in the mountains.
att förlita sig på,Jag kan alltid förlita mig på mina vänner.,I can always rely on my friends.
att förlägga,Vi måste förlägga mötet till nästa vecka.,We need to move the meeting to next week.
spontan,Att vara spontan är roligt.,Being spontaneous is fun.
informell,Vi hade en informell träff på kaféet.,We had an informal meeting at the café.
en förvåning,Det var en förvåning att se honom där.,It was an astonishment to see him there.
att iaktta,Jag försöker alltid att iaktta fåglarna i parken.,I always try to observe the birds in the park.
ett körkort,Jag ska ta mitt körkort nästa vecka.,I will take my driving test next week.
ett försäkringsbolag,Jag har en försäkring hos ett försäkringsbolag.,I have an insurance with an insurance company.
ett missnöje,Det finns ett missnöje bland folket över de höga priserna.,There is a dissatisfaction among the people over the high prices.
en etnicitet,Många människor har en etnicitet som de stolta över.,Many people have an ethnicity that they are proud of.
en inbjudan,Jag fick en inbjudan till festen.,I received an invitation to the party.
dyster,Dagen var dyster och regnig.,The day was gloomy and rainy.
en okunskap,En okunskap kan leda till missförstånd.,A lack of knowledge can lead to misunderstandings.
garanterat,Det kommer att bli garanterat soligt i helgen.,It will definitely be sunny this weekend.
sammanfattningsvis,Sammanfattningsvis är det viktigt att studera varje dag.,"In summary, it is important to study every day."
en spark,Han fick en spark från jobbet efter att ha kommit för sent flera gånger.,He got fired from his job after being late several times.
en arbetsdag,En arbetsdag börjar tidigt på morgonen.,A work day starts early in the morning.
ett silver,Jag har ett silver i min hand.,I have a silver in my hand.
organisatorisk,Organisatorisk struktur är viktigt för framgång.,Organizational structure is important for success.
slutgiltig,Det här är den slutgiltiga versionen av rapporten.,This is the final version of the report.
tungt,Det regnar tungt idag.,It is raining heavily today.
att bekänna,Jag måste bekänna att jag är ett fan av klassisk musik.,I must confess that I am a fan of classical music.
en kostym,Han köpte en kostym till bröllopet.,He bought a suit for the wedding.
ett schema,Jag har ett schema för mina studier.,I have a schedule for my studies.
långtgående,Beslutet hade långtgående konsekvenser för företaget.,The decision had far-reaching consequences for the company.
en mask,En mask kryper i jorden.,A worm crawls in the soil.
en materiel,Vi behöver köpa en materiel till projektet.,We need to buy equipment for the project.
en mobbning,Mobbning är ett stort problem i skolor.,Bullying is a big problem in schools.
en leksak,Barnet leker med en leksak.,The child plays with a toy.
spridd,Kunskap är spridd över hela världen.,Knowledge is spread all over the world.
att stava,Kan du stava till ditt namn?,Can you spell your name?
en tillit,Jag har en tillit till mina vänner.,I have a trust in my friends.
modig,Hon är modig när hon hjälper andra.,She is brave when she helps others.
ett utbrott,Det var ett utbrott av sjukdomen i staden.,There was an outbreak of the disease in the city.
en apparat,En apparat kan laga mat på ett enkelt sätt.,A device can cook food in a simple way.
en disk,Vi måste diska en disk innan vi kan äta.,We need to wash the dishes before we can eat.
ett drama,Det var ett drama på teatern igår.,There was a drama at the theater yesterday.
att exportera,Företaget planerar att exportera sina produkter till Europa.,The company plans to export its products to Europe.
en försoning,Efter många samtal kom de till en försoning.,"After many conversations, they reached a reconciliation."
universell,Den universella sanningen är enkel.,The universal truth is simple.
ett beroende,Ett beroende kan vara svårt att bryta.,An addiction can be hard to break.
att surfa,Jag älskar att surfa på vågorna.,I love to surf on the waves.
en diktator,En diktator kan styra med skräck.,A dictator can rule with fear.
en passage,En passage i boken fångade min uppmärksamhet.,A passage in the book caught my attention.
inbyggd,Den nya telefonen har en inbyggd kamera.,The new phone has a built-in camera.
att plåga,Hela natten plågade tankarna mig.,"All night, thoughts plagued me."
strikt,Läraren är mycket strikt med sina regler.,The teacher is very strict with his rules.
att utlova,Jag lovar att utlova min hjälp imorgon.,I promise to offer my help tomorrow.
en riksbank,Sveriges riksbank styr landets ekonomi.,Sweden's central bank controls the country's economy.
att återta,Jag vill återta min gamla bok från biblioteket.,I want to regain my old book from the library.
en dokumentation,Vi behöver en dokumentation för projektet.,We need a documentation for the project.
en ingrediens,Socker är en ingrediens i många bakverk.,Sugar is an ingredient in many baked goods.
att inträda,Vi är glada att inträda i den nya skolan.,We are happy to join the new school.
en show,Vi ska gå på en show i kväll.,We are going to a show tonight.
bak,Boken ligger bak soffan.,The book is lying behind the sofa.
en delaktighet,En delaktighet i samhället är viktig för alla.,Involvement in society is important for everyone.
i viss mån,"Jag förstår, i viss mån, varför du känner så.","I understand, to some extent, why you feel that way."
